Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides A	Peptides B	Peptides C	Razor + unique peptides A	Razor + unique peptides B	Razor + unique peptides C	Unique peptides A	Unique peptides B	Unique peptides C	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Identification type A	Identification type B	Identification type C	Ratio M/L	Ratio M/L normalized	Ratio M/L variability [%]	Ratio M/L count	Ratio M/L iso-count	Ratio M/L type	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/M	Ratio H/M normalized	Ratio H/M variability [%]	Ratio H/M count	Ratio H/M iso-count	Ratio H/M type	Ratio M/L A	Ratio M/L normalized A	Ratio M/L variability [%] A	Ratio M/L count A	Ratio M/L iso-count A	Ratio M/L type A	Ratio H/L A	Ratio H/L normalized A	Ratio H/L variability [%] A	Ratio H/L count A	Ratio H/L iso-count A	Ratio H/L type A	Ratio H/M A	Ratio H/M normalized A	Ratio H/M variability [%] A	Ratio H/M count A	Ratio H/M iso-count A	Ratio H/M type A	Ratio M/L B	Ratio M/L normalized B	Ratio M/L variability [%] B	Ratio M/L count B	Ratio M/L iso-count B	Ratio M/L type B	Ratio H/L B	Ratio H/L normalized B	Ratio H/L variability [%] B	Ratio H/L count B	Ratio H/L iso-count B	Ratio H/L type B	Ratio H/M B	Ratio H/M normalized B	Ratio H/M variability [%] B	Ratio H/M count B	Ratio H/M iso-count B	Ratio H/M type B	Ratio M/L C	Ratio M/L normalized C	Ratio M/L variability [%] C	Ratio M/L count C	Ratio M/L iso-count C	Ratio M/L type C	Ratio H/L C	Ratio H/L normalized C	Ratio H/L variability [%] C	Ratio H/L count C	Ratio H/L iso-count C	Ratio H/L type C	Ratio H/M C	Ratio H/M normalized C	Ratio H/M variability [%] C	Ratio H/M count C	Ratio H/M iso-count C	Ratio H/M type C	Sequence coverage A [%]	Sequence coverage B [%]	Sequence coverage C [%]	Intensity	Intensity L	Intensity M	Intensity H	Intensity A	Intensity L A	Intensity M A	Intensity H A	Intensity B	Intensity L B	Intensity M B	Intensity H B	Intensity C	Intensity L C	Intensity M C	Intensity H C	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q9H000;B4DPR4;C9J494	Q9H000;B4DPR4;C9J494	2;2;2	2;2;2	2;2;2	Probable E3 ubiquitin-protein ligase makorin-2	MKRN2	>sp|Q9H000|MKRN2_HUMAN Probable E3 ubiquitin-protein ligase makorin-2 OS=Homo sapiens GN=MKRN2 PE=2 SV=2;>tr|B4DPR4|B4DPR4_HUMAN Makorin, ring finger protein, 2, isoform CRA_b OS=Homo sapiens GN=MKRN2 PE=2 SV=1;>tr|C9J494|C9J494_HUMAN Probable E3 ubiquitin	3	2	2	2	0	2	1	0	2	1	0	2	1	6.2	6.2	6.2	46.94	416	416;373;414	1	3	0	By matching	By MS/MS	By MS/MS	1.127	0.93152	89.121	2	0	Median	0.70687	0.7809	49.288	2	0	Median	0.57732	0.76198	41.233	2	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	0	6.2	1.9	5003000	1572600	2524300	906030	0	0	0	0	3234600	966710	1708400	559490	1768400	605910	815930	346540				47	3848;6285	True;True	3946;6493	14710;14711;24672	34587;34588;58407	34588;58407		
B4DQH4;P50990;H7C2U0;B4DEM7	B4DQH4;P50990;H7C2U0;B4DEM7	2;1;1;1	2;1;1;1	2;1;1;1	T-complex protein 1 subunit theta	CCT8	>tr|B4DQH4|B4DQH4_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=2 SV=1;>sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4;>tr|H7C2U0|H7C2U0_HUMAN T-complex protein 1 subunit theta (Fragment) OS=Ho	4	2	2	2	0	1	2	0	1	2	0	1	2	4.4	4.4	4.4	51.586	475	475;548;107;529	1	3	0.0025674	By matching	By MS/MS	By MS/MS	1.099	0.87578	10.56	2	0	Median	1.0641	1.1322	26.121	2	0	Median	0.99467	1.2673	1.1788	2	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	0	2.1	4.4	99409000	43021000	28990000	27398000	0	0	0	0	22653000	4697400	9259300	8696700	76755000	38324000	19731000	18701000				48	980;3166	True;True	1013;3247	3518;3519;12016	8118;8119;28280;28281	8118;28280	12	4
Q13595;Q13595-2;B4DQI6;B4DUA9	Q13595;Q13595-2;B4DQI6;B4DUA9	4;4;4;4	4;4;4;4	4;4;4;4	Transformer-2 protein homolog alpha	TRA2A	>sp|Q13595|TRA2A_HUMAN Transformer-2 protein homolog alpha OS=Homo sapiens GN=TRA2A PE=1 SV=1;>sp|Q13595-2|TRA2A_HUMAN Isoform Short of Transformer-2 protein homolog alpha OS=Homo sapiens GN=TRA2A;>tr|B4DQI6|B4DQI6_HUMAN Transformer-2 protein homolog alpha	4	4	4	4	4	4	4	4	4	4	4	4	4	18.8	18.8	18.8	32.688	282	282;113;180;181	1	20	0	By MS/MS	By MS/MS	By MS/MS	0.99093	0.97484	29.133	17	0	Median	0.69848	0.96894	25.685	17	0	Median	0.68819	0.94715	26.857	17	0	Median	0.50801	0.78032	9.7093	5	0	Median	0.54041	0.99307	8.5443	5	0	Median	1.0642	1.1754	8.6284	5	0	Median	1.9787	0.97484	25.495	7	0	Median	1.0983	0.76664	14.471	7	0	Median	0.53032	0.7211	19.726	7	0	Median	0.9796	1.4739	7.7933	5	0	Median	0.68487	1.3272	8.7068	5	0	Median	0.74161	1.0465	19.73	5	0	Median	18.8	18.8	18.8	290390000	104700000	107660000	78020000	89993000	44269000	22457000	23267000	82020000	19277000	40618000	22125000	118370000	41156000	44588000	32628000				49	385;1962;2876;6770	True;True;True;True	402;2012;2955;6992	1456;1457;1458;1459;1460;1461;7305;7306;7307;10985;10986;10987;10988;26498;26499;26500;26501;26502;26503;26504	3195;3196;3197;3198;3199;3200;3201;3202;3203;3204;3205;3206;3207;3208;3209;3210;3211;3212;3213;3214;3215;3216;3217;3218;3219;3220;3221;16720;16721;16722;16723;26053;26054;26055;26056;26057;26058;26059;26060;26061;26062;62514;62515;62516;62517;62518;62519;62520;62521;62522	3197;16723;26057;62521		
Q99880;Q99877;Q93079;P58876;O60814;Q99879;Q5QNW6;P62807;P57053;Q5QNW6-2;B4DR52;P33778;Q16778;Q8N257;P23527;P06899;Q96A08	Q99880;Q99877;Q93079;P58876;O60814;Q99879;Q5QNW6;P62807;P57053;Q5QNW6-2;B4DR52;P33778;Q16778;Q8N257;P23527;P06899	3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1	3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1	3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1	Histone H2B type 1-L;Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-M;Histone H2B type 2-F;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 2-E;Histone H2B type 3-B;Histone H2B type 1-O;Histone H2B type 1-J	HIST1H2BL;HIST1H2BN;HIST1H2BH;HIST1H2BD;HIST1H2BK;HIST1H2BM;HIST2H2BF;HIST1H2BC;H2BFS;HIST1H2BB;HIST2H2BE;HIST3H2BB;HIST1H2BO;HIST1H2BJ	>sp|Q99880|H2B1L_HUMAN Histone H2B type 1-L OS=Homo sapiens GN=HIST1H2BL PE=1 SV=3;>sp|Q99877|H2B1N_HUMAN Histone H2B type 1-N OS=Homo sapiens GN=HIST1H2BN PE=1 SV=3;>sp|Q93079|H2B1H_HUMAN Histone H2B type 1-H OS=Homo sapiens GN=HIST1H2BH PE=1 SV=3;>sp|P58	17	3	3	3	3	3	3	3	3	3	3	3	3	26.2	26.2	26.2	13.952	126	126;126;126;126;126;126;126;126;126;134;166;126;126;126;126;126;127	1	28	0	By MS/MS	By MS/MS	By MS/MS	0.64356	0.78703	50.446	23	0	Median	0.84295	0.67582	55.43	23	0	Median	0.80848	1.0932	56.427	23	0	Median	0.52605	0.76179	54.291	8	0	Median	1.0136	1.8202	12.865	8	0	Median	1.9394	2.1678	49.212	8	0	Median	1.1118	0.51428	66.188	7	0	Median	0.8457	0.57599	20.627	7	0	Median	0.80848	1.0932	52.476	7	0	Median	0.64877	0.96463	11.971	8	0	Median	0.36786	0.67272	25.345	8	0	Median	0.57582	0.82797	25.097	8	0	Median	26.2	26.2	26.2	1830900000	823210000	551850000	455870000	329960000	130640000	62175000	137150000	212120000	74102000	74501000	63517000	1288800000	618470000	415170000	255210000				50	362;1524;3521	True;True;True	375;376;377;1563;3611	1354;1355;1356;1357;1358;1359;1360;1361;1362;1363;1364;1365;1366;1367;1368;1369;1370;1371;1372;1373;1374;1375;5533;5534;5535;13481;13482;13483	2936;2937;2938;2939;2940;2941;2942;2943;2944;2945;2946;2947;2948;2949;2950;2951;2952;2953;2954;2955;2956;2957;2958;2959;2960;2961;2962;2963;2964;2965;2966;2967;2968;2969;2970;2971;2972;2973;2974;2975;2976;2977;2978;2979;2980;2981;2982;2983;2984;2985;2986;2987;2988;2989;2990;2991;2992;2993;2994;2995;2996;2997;2998;2999;3000;3001;3002;3003;3004;3005;3006;3007;3008;3009;3010;3011;3012;3013;3014;3015;3016;3017;3018;3019;3020;3021;3022;3023;12578;31823;31824;31825;31826;31827;31828	2999;12578;31825	13;14	60;63
Q9P035;B4DRF4;H3BS72;H3BMZ1;H3BRL8;H3BPZ1	Q9P035;B4DRF4;H3BS72	3;3;2;1;1;1	3;3;2;1;1;1	3;3;2;1;1;1	Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 3	PTPLAD1	>sp|Q9P035|HACD3_HUMAN Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 3 OS=Homo sapiens GN=PTPLAD1 PE=1 SV=2;>tr|B4DRF4|B4DRF4_HUMAN Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 3 OS=Homo sapiens GN=PTPLAD1 P	6	3	3	3	2	3	3	2	3	3	2	3	3	14.6	14.6	14.6	43.159	362	362;307;400;139;245;337	1	10	0	By MS/MS	By MS/MS	By MS/MS	1.0849	0.96921	34.731	6	0	Median	0.60842	0.64046	58.388	6	0	Median	0.4895	0.70506	21.834	6	0	Median	1.1515	1.3977	20.751	2	0	Median	0.80944	1.5015	20.207	2	0	Median	0.72426	0.79353	0.31021	2	0	Median	1.2863	0.66847	3.2879	2	0	Median	0.60842	0.43798	20.89	2	0	Median	0.40946	0.53	12.353	2	0	Median	0.66108	0.96921	12.228	2	0	Median	0.32364	0.64046	16.731	2	0	Median	0.4895	0.72679	20.701	2	0	Median	10.5	14.6	14.6	81982000	35248000	32866000	13868000	12948000	4408500	4842900	3696800	30900000	11512000	14706000	4681400	38134000	19327000	13317000	5490200				51	3704;3927;6155	True;True;True	3800;4032;6362	14195;14196;14197;15018;15019;15020;15021;24101;24102;24103	33503;33504;33505;35200;35201;35202;35203;57055;57056;57057;57058;57059;57060;57061;57062;57063;57064	33505;35200;57059		
Q92552;G5EA06;B4DRT2	Q92552;G5EA06;B4DRT2	1;1;1	1;1;1	1;1;1	28S ribosomal protein S27, mitochondrial	MRPS27	>sp|Q92552|RT27_HUMAN 28S ribosomal protein S27, mitochondrial OS=Homo sapiens GN=MRPS27 PE=1 SV=3;>tr|G5EA06|G5EA06_HUMAN 28S ribosomal protein S27, mitochondrial OS=Homo sapiens GN=MRPS27 PE=4 SV=1;>tr|B4DRT2|B4DRT2_HUMAN 28S ribosomal protein S27, mitoc	3	1	1	1	1	1	1	1	1	1	1	1	1	3.6	3.6	3.6	47.611	414	414;358;428	1	3	0	By MS/MS	By MS/MS	By MS/MS	1.1607	1.1871	10.767	3	0	Median	0.95945	1.3326	30.645	3	0	Median	0.89491	0.95967	20.711	3	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	3.6	3.6	3.6	11515000	3971100	4149700	3394600	2793200	1143500	868200	781510	2931300	510790	1245200	1175300	5791000	2316900	2036300	1437800				52	2602	True	2673	9877;9878;9879	23281;23282;23283	23283		
Q96SB4;Q5R363;B4DS61;H3BLV9;Q96SB4-3	Q96SB4;Q5R363;B4DS61;H3BLV9;Q96SB4-3	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	SRSF protein kinase 1	SRPK1	>sp|Q96SB4|SRPK1_HUMAN SRSF protein kinase 1 OS=Homo sapiens GN=SRPK1 PE=1 SV=2;>tr|Q5R363|Q5R363_HUMAN SRSF protein kinase 1 OS=Homo sapiens GN=SRPK1 PE=4 SV=1;>tr|B4DS61|B4DS61_HUMAN SFRS protein kinase 1, isoform CRA_f OS=Homo sapiens GN=SRPK1 PE=2 SV=1	5	1	1	1	1	1	1	1	1	1	1	1	1	3.1	3.1	3.1	74.324	655	655;547;639;671;826	1	3	0.0049505	By MS/MS	By MS/MS	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	3.1	3.1	3.1	8804900	5586300	981110	2237500	1205100	0	0	1205100	4162300	2148700	981110	1032500	3437600	3437600	0	0				53	4380	True	4533	17146;17147;17148	40715;40716;40717	40715		
Q96AE4;B4DT31;Q96AE4-2;E9PEB5;C9JSZ1	Q96AE4;B4DT31;Q96AE4-2;E9PEB5	14;14;13;13;5	12;12;11;11;5	12;12;11;11;5	Far upstream element-binding protein 1	FUBP1	>sp|Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3;>tr|B4DT31|B4DT31_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=2 SV=1;>sp|Q96AE4-2|FUBP1_HUMAN Isoform 2 of Far upstream element-bi	5	14	12	12	12	13	11	10	11	9	10	11	9	27.5	25	25	67.56	644	644;665;653;655;232	1	43	0	By MS/MS	By MS/MS	By MS/MS	0.75529	0.93761	48.469	31	0	Median	0.71513	1.1925	56.211	31	0	Median	0.57278	0.7573	37.328	31	0	Median	0.51728	0.66247	27.27	10	0	Median	0.26989	0.48663	47.839	10	0	Median	0.54835	0.6177	26.253	10	0	Median	3.8212	1.8384	49.923	12	0	Median	2.1147	1.5033	48.87	12	0	Median	0.54091	0.72892	10.172	12	0	Median	0.69048	0.97973	19.561	9	0	Median	0.6742	1.2719	13.153	9	0	Median	1.057	1.5078	29.354	9	0	Median	25.2	23.8	21.4	647860000	239440000	239090000	169330000	212470000	108730000	58014000	45726000	188700000	29970000	105700000	53025000	246700000	100740000	75377000	70580000				54	593;666;1444;1445;1608;2652;2656;2850;2852;4096;4727;4969;5166;6431	False;True;True;True;False;True;True;True;True;True;True;True;True;True	616;692;1480;1481;1482;1651;2725;2729;2928;2930;4242;4889;5135;5347;6645	2206;2207;2208;2209;2210;2211;2413;2414;2415;2416;2417;2418;5235;5236;5237;5238;5239;5240;5241;5242;5243;5900;5901;5902;5903;5904;5905;5906;5907;5908;5909;5910;5911;5912;5913;5914;5915;5916;5917;5918;5919;5920;5921;5922;5923;5924;10082;10083;10084;10102;10103;10104;10839;10840;10841;10842;10843;10844;10847;10848;10849;10850;16033;16034;16035;18337;19295;20314;20315;20316;25185;25186;25187;25188	5028;5029;5030;5031;5032;5033;5034;5035;5036;5037;5038;5039;5040;5455;5456;5457;5458;5459;5460;5461;5462;5463;5464;11941;11942;11943;11944;11945;11946;11947;11948;11949;11950;11951;11952;11953;11954;11955;11956;11957;11958;11959;13447;13448;13449;13450;13451;13452;13453;13454;13455;13456;13457;13458;13459;13460;13461;13462;13463;13464;13465;13466;13467;13468;13469;13470;13471;13472;13473;13474;13475;13476;13477;13478;13479;13480;13481;13482;13483;13484;13485;13486;13487;13488;13489;13490;13491;13492;13493;13494;13495;13496;13497;13498;13499;23799;23800;23801;23802;23803;23804;23805;23806;23807;23808;23809;23810;23811;23812;23857;23858;23859;23860;23861;23862;23863;23864;23865;23866;25575;25576;25577;25578;25579;25580;25581;25582;25583;25584;25585;25586;25587;25588;25589;25594;25595;25596;25597;25598;25599;37844;37845;37846;37847;43129;43130;45401;48288;48289;48290;48291;48292;48293;48294;48295;59531;59532;59533;59534;59535	5033;5457;11950;11959;13486;23804;23865;25576;25595;37844;43130;45401;48294;59534		
Q14103;Q14103-3;H0YA96;H0Y8G5;Q14103-4;B4DTC3;Q14103-2;D6RAF8;D6RF44;F5H6R6;D6RBQ9;D6RD83	Q14103;Q14103-3;H0YA96;H0Y8G5;Q14103-4;B4DTC3;Q14103-2;D6RAF8;D6RF44;F5H6R6	11;11;11;11;11;11;11;8;6;6;5;3	9;9;9;9;9;9;9;6;4;6;3;3	9;9;9;9;9;9;9;6;4;6;3;3	Heterogeneous nuclear ribonucleoprotein D0	HNRNPD	>sp|Q14103|HNRPD_HUMAN Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1;>sp|Q14103-3|HNRPD_HUMAN Isoform 3 of Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD;>tr|H0YA96|H0YA96_HUMAN Heterogeneous nuclear r	12	11	9	9	11	11	11	9	9	9	9	9	9	23.4	20.6	20.6	38.434	355	355;306;210;261;287;303;336;221;112;201;155;92	1	87	0	By MS/MS	By MS/MS	By MS/MS	0.86937	1.1615	46.425	71	0	Median	0.77228	1.1321	45.649	71	0	Median	0.70531	0.87098	25.979	71	0	Median	0.49517	0.68587	16.616	26	0	Median	0.34713	0.63575	27.372	26	0	Median	0.69285	0.82587	20.742	26	0	Median	3.0469	1.3288	20.16	20	0	Median	1.7037	1.1467	19.252	20	0	Median	0.52539	0.70094	9.0063	20	0	Median	0.89964	1.3213	55.499	25	0	Median	0.79666	1.4591	51.66	25	0	Median	0.93644	1.2429	13.934	25	0	Median	23.4	23.4	23.4	6569800000	2378400000	2418100000	1773300000	2096700000	1130900000	533090000	432720000	1909100000	341470000	1021300000	546380000	2564000000	906090000	863690000	794210000				55	1582;1662;1969;1970;1971;1989;2638;2867;3939;3940;5518	True;True;True;True;True;False;True;True;True;True;False	1624;1705;2019;2020;2021;2041;2711;2945;2946;4047;4048;5709	5736;5737;5738;5739;5740;5741;5742;5743;5744;5745;6108;6109;6110;6111;6112;6113;6114;6115;6116;6117;6118;6119;6120;6121;6122;7336;7337;7338;7339;7340;7341;7342;7343;7344;7345;7346;7347;7348;7349;7350;7351;7352;7353;7354;7355;7356;7357;7358;7359;7360;7361;7362;7363;7467;7468;7469;7470;7471;7472;7473;7474;7475;7476;7477;7478;10023;10024;10025;10026;10027;10940;10941;10942;10943;10944;10945;10946;10947;10948;10949;10950;10951;10952;10953;10954;10955;15072;15073;15074;15075;15076;15077;15078;15079;15080;15081;15082;15083;15084;21758;21759;21760;21761;21762	13060;13061;13062;13063;13064;13065;13066;13067;13068;13069;13070;13071;13072;13073;13074;13075;13076;13077;13078;13079;13080;13081;13842;13843;13844;13845;13846;13847;13848;13849;13850;13851;13852;13853;13854;13855;13856;13857;13858;13859;13860;13861;13862;13863;13864;13865;13866;13867;13868;13869;13870;13871;13872;13873;13874;13875;13876;16760;16761;16762;16763;16764;16765;16766;16767;16768;16769;16770;16771;16772;16773;16774;16775;16776;16777;16778;16779;16780;16781;16782;16783;16784;16785;16786;16787;16788;16789;16790;16791;16792;16793;16794;16795;16796;16797;16798;16799;16800;16801;16802;16803;16804;16805;16806;16807;16808;16809;16810;16811;16812;16813;16814;16815;16816;16817;16818;16819;16820;16821;16822;16823;16824;16825;16826;16827;16828;16829;17182;17183;17184;17185;17186;17187;17188;17189;17190;17191;17192;17193;17194;17195;17196;17197;17198;17199;17200;17201;17202;17203;17204;17205;17206;17207;17208;17209;17210;17211;17212;17213;17214;17215;17216;17217;17218;17219;17220;17221;17222;17223;17224;17225;17226;17227;17228;17229;23642;23643;23644;23645;23646;23647;23648;23649;23650;23651;23652;23653;23654;23655;23656;23657;23658;23659;23660;23661;23662;23663;23664;23665;23666;23667;23668;25908;25909;25910;25911;25912;25913;25914;25915;25916;25917;25918;25919;25920;25921;25922;25923;25924;25925;25926;25927;25928;25929;25930;25931;25932;25933;25934;25935;25936;25937;25938;25939;25940;25941;25942;25943;25944;25945;25946;25947;25948;25949;25950;25951;25952;25953;25954;25955;25956;25957;25958;25959;25960;25961;25962;25963;25964;25965;25966;25967;25968;25969;25970;25971;25972;25973;25974;25975;25976;25977;25978;25979;25980;25981;25982;25983;25984;25985;25986;25987;25988;25989;25990;25991;25992;25993;25994;25995;25996;25997;25998;25999;26000;26001;26002;26003;26004;26005;26006;26007;26008;26009;26010;26011;26012;26013;26014;26015;26016;26017;35288;35289;35290;35291;35292;35293;35294;35295;35296;35297;35298;35299;35300;35301;35302;35303;35304;35305;35306;35307;35308;35309;35310;35311;35312;35313;35314;35315;35316;35317;35318;35319;35320;35321;35322;35323;35324;35325;35326;35327;35328;35329;51571;51572;51573;51574	13080;13842;16761;16806;16821;17187;23644;25931;35307;35324;51574	15	215
Q8ND56;B4DTG6;Q8ND56-2;I3L420;K7EMZ9;I3L4Q1;I3L3F8	Q8ND56;B4DTG6;Q8ND56-2;I3L420;K7EMZ9	11;11;11;8;7;3;2	11;11;11;8;7;3;2	11;11;11;8;7;3;2	Protein LSM14 homolog A	LSM14A	>sp|Q8ND56|LS14A_HUMAN Protein LSM14 homolog A OS=Homo sapiens GN=LSM14A PE=1 SV=3;>tr|B4DTG6|B4DTG6_HUMAN Protein LSM14 homolog A OS=Homo sapiens GN=LSM14A PE=2 SV=1;>sp|Q8ND56-2|LS14A_HUMAN Isoform 2 of Protein LSM14 homolog A OS=Homo sapiens GN=LSM14A;>	7	11	11	11	10	9	9	10	9	9	10	9	9	31.7	31.7	31.7	50.529	463	463;422;463;344;333;102;80	1	30	0	By MS/MS	By MS/MS	By MS/MS	1.1639	1.3569	17.347	29	0	Median	0.73437	1.1977	21.467	29	0	Median	0.63802	0.80488	13.424	28	0	Median	1.1082	1.3546	18.015	11	0	Median	0.7116	1.1561	19.647	11	0	Median	0.64018	0.72195	9.2886	10	0	Median	2.8051	1.3537	11.634	10	0	Median	2.022	1.3358	16.001	10	0	Median	0.68889	0.9367	8.8464	10	0	Median	1.0585	1.5259	23.729	8	0	Median	0.56567	1.0171	22.558	8	0	Median	0.57468	0.80829	8.1725	8	0	Median	22.5	22.5	31.7	398760000	124270000	161400000	113090000	118410000	41788000	46669000	29952000	135430000	21161000	64114000	50152000	144930000	61318000	50619000	32990000				56	120;761;927;1255;1256;1929;4538;5242;5243;5277;6718	True;True;True;True;True;True;True;True;True;True;True	123;789;959;1290;1291;1977;4695;5425;5426;5462;6939	374;375;376;2777;2778;2779;2780;2781;3356;4508;4509;4510;4511;4512;4513;7144;17699;17700;17701;20611;20612;20613;20614;20615;20616;20739;20740;20741;26295;26296	663;664;665;666;6357;6358;6359;6360;6361;6362;6363;6364;6365;6366;6367;6368;6369;6370;6371;6372;6373;6374;6375;6376;6377;7762;7763;10302;10303;10304;10305;10306;10307;10308;10309;10310;10311;10312;10313;16232;41858;41859;41860;41861;41862;41863;41864;41865;41866;41867;41868;41869;41870;41871;41872;41873;48942;48943;48944;48945;48946;48947;48948;48949;48950;48951;48952;48953;48954;48955;48956;48957;48958;48959;48960;48961;48962;48963;49217;49218;49219;61971	664;6368;7762;10302;10304;16232;41865;48946;48955;49219;61971		
P55060;B4DUC5;P55060-3;F8W904	P55060;B4DUC5;P55060-3;F8W904	4;4;4;3	4;4;4;3	4;4;4;3	Exportin-2	CSE1L	>sp|P55060|XPO2_HUMAN Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3;>tr|B4DUC5|B4DUC5_HUMAN Exportin-2 OS=Homo sapiens GN=CSE1L PE=2 SV=1;>sp|P55060-3|XPO2_HUMAN Isoform 3 of Exportin-2 OS=Homo sapiens GN=CSE1L;>tr|F8W904|F8W904_HUMAN Exportin-2 OS=Homo sa	4	4	4	4	0	0	4	0	0	4	0	0	4	5.1	5.1	5.1	110.42	971	971;754;945;915	1	4	0	By matching	By matching	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	0	0	5.1	323100000	156740000	105350000	61004000	0	0	0	0	0	0	0	0	323100000	156740000	105350000	61004000				57	336;2696;2826;3549	True;True;True;True	346;2771;2903;3642	1247;10269;10746;13638	2702;24284;24285;25308;32255	2702;24284;25308;32255		
P49368;B4DUR8;P49368-2	P49368;B4DUR8;P49368-2	2;2;2	2;2;2	2;2;2	T-complex protein 1 subunit gamma	CCT3	>sp|P49368|TCPG_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4;>tr|B4DUR8|B4DUR8_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=2 SV=1;>sp|P49368-2|TCPG_HUMAN Isoform 2 of T-complex protein 1 subunit gamma OS=	3	2	2	2	0	0	2	0	0	2	0	0	2	4	4	4	60.533	545	545;500;507	1	2	0.0013405	By matching	By matching	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0	0	4	2063400	865970	1197400	0	0	0	0	0	0	0	0	0	2063400	865970	1197400	0				58	548;5686	True;True	570;5882	2074;22415	4794;53063	4794;53063		
